type,review_score,total_reviews,review_bucket
Free,0.7102281445988289,202021,10k+
Free,0.5943223443223443,1092,1k-10k
Free,0.9158403436549132,111740,10k+
Free,0.6421404682274248,299,200-1k
Free,0.7108886107634543,799,200-1k
Free,0.7605633802816901,142,50-200
Free,0.8307692307692308,130,50-200
Free,0.9342523860021209,943,200-1k
Free,0.5757575757575758,66,50-200
Free,0.5357142857142857,84,50-200
Free,0.803680981595092,163,50-200
Free,0.5543478260869565,552,200-1k
Free,0.27941176470588236,68,50-200
Free,0.5467625899280576,139,50-200
Free,0.64,100,50-200
Free,0.8513538949689424,37189,10k+
Free,0.6825095057034221,526,200-1k
Free,0.9322709163346613,1757,1k-10k
Free,0.8026971894832275,8824,1k-10k
Free,0.7608440797186401,853,200-1k
Free,0.6149732620320856,187,50-200
Free,0.8054626532887402,3588,1k-10k
Free,0.9287072243346007,1052,1k-10k
Free,0.5597014925373134,134,50-200
Free,0.9356769181991123,25232,10k+
Free,0.8942148760330578,605,200-1k
Free,0.5810769911298396,42953,10k+
Free,0.8929204966940816,12402,10k+
Free,0.6471198754540737,1927,1k-10k
Free,0.7196969696969697,264,200-1k
Free,0.7567567567567568,111,50-200
Free,0.5438442651701157,5702,1k-10k
Free,0.9066871852266368,14296,10k+
Free,0.8497967690904262,346404,10k+
Free,0.793010752688172,372,200-1k
